"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 28","Range of Values",42,42,NA
"77","Refused",0,42,NA
"99","Don't know",0,42,NA
".","Missing",3256,3298,NA
