"URXANTT.Code.or.Value","URXANTT.Value.Description","URXANTT.Count","URXANTT.Cumulative","URXANTT.Skip.to.Item"
"0.28 to 269","Range of Values",553,553,NA
".","Missing",2726,3279,NA
