"DXXPT25Y.Code.or.Value","DXXPT25Y.Value.Description","DXXPT25Y.Count","DXXPT25Y.Cumulative","DXXPT25Y.Skip.to.Item"
"156.6 to 392.1","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
