"CBD730.Code.or.Value","CBD730.Value.Description","CBD730.Count","CBD730.Cumulative","CBD730.Skip.to.Item"
"1","Always",1130,1130,NA
"2","Most of the time",713,1843,NA
"3","Sometimes",942,2785,NA
"4","Rarely",564,3349,NA
"5","Never",442,3791,NA
"6","Never buy these items",442,4233,NA
"7","Refused",0,4233,NA
"9","Don't know",8,4241,NA
".","Missing",1781,6022,NA
