"DXXPT14X.Code.or.Value","DXXPT14X.Value.Description","DXXPT14X.Count","DXXPT14X.Cumulative","DXXPT14X.Skip.to.Item"
"16 to 577.8","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
