"SPFHP.Code.or.Value","SPFHP.Value.Description","SPFHP.Count","SPFHP.Cumulative","SPFHP.Skip.to.Item"
"0.4 to 4.2","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
