"WTSPH22.Code.or.Value","WTSPH22.Value.Description","WTSPH22.Count","WTSPH22.Cumulative","WTSPH22.Skip.to.Item"
"0.0000000 to 784232.9686100","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
