"LBD138LC.Code.or.Value","LBD138LC.Value.Description","LBD138LC.Count","LBD138LC.Cumulative","LBD138LC.Skip.to.Item"
"0","At or above the detection limit",246,246,NA
"1","Below lower detection limit",1,247,NA
".","Missing",0,247,NA
