"PFQ061E.Code.or.Value","PFQ061E.Value.Description","PFQ061E.Count","PFQ061E.Cumulative","PFQ061E.Skip.to.Item"
"1","No difficulty",1980,1980,NA
"2","Some difficulty",421,2401,NA
"3","Much difficulty",184,2585,NA
"4","Unable to do",230,2815,NA
"5","Do not do this activity",55,2870,NA
"7","Refused",0,2870,NA
"9","Don't know",2,2872,NA
".","Missing",6794,9666,NA
