"URXUTL.Code.or.Value","URXUTL.Value.Description","URXUTL.Count","URXUTL.Cumulative","URXUTL.Skip.to.Item"
"0.014 to 1.37","Range of Values",2504,2504,NA
".","Missing",90,2594,NA
