"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 4.5","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
