"WBXP034.Code.or.Value","WBXP034.Value.Description","WBXP034.Count","WBXP034.Cumulative","WBXP034.Skip.to.Item"
"-109.2644 to 142.7153","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
