"LBDEOALC.Code.or.Value","LBDEOALC.Value.Description","LBDEOALC.Count","LBDEOALC.Cumulative","LBDEOALC.Skip.to.Item"
"0","detectable result",2398,2398,NA
"1","below detectable limit",87,2485,NA
".","Missing",270,2755,NA
