"DXXHEFAT.Code.or.Value","DXXHEFAT.Value.Description","DXXHEFAT.Count","DXXHEFAT.Cumulative","DXXHEFAT.Skip.to.Item"
"686.9 to 2089.8","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
