"AUXRR252.Code.or.Value","AUXRR252.Value.Description","AUXRR252.Count","AUXRR252.Cumulative","AUXRR252.Skip.to.Item"
"-49 to 51","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
