"URXMU1.Code.or.Value","URXMU1.Value.Description","URXMU1.Count","URXMU1.Cumulative","URXMU1.Skip.to.Item"
"0.657 to 2620","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
