"DR2DBIH.Code.or.Value","DR2DBIH.Value.Description","DR2DBIH.Count","DR2DBIH.Cumulative","DR2DBIH.Skip.to.Item"
"-28 to 165","Range of Values",128516,128516,NA
".","Missing",625,129141,NA
