"MCQ120A.Code.or.Value","MCQ120A.Value.Description","MCQ120A.Count","MCQ120A.Cumulative","MCQ120A.Skip.to.Item"
"1","Yes",439,439,NA
"2","No",4140,4579,NA
"7","Refused",0,4579,NA
"9","Don't know",33,4612,NA
".","Missing",4881,9493,NA
