"AUXLR212.Code.or.Value","AUXLR212.Value.Description","AUXLR212.Count","AUXLR212.Cumulative","AUXLR212.Skip.to.Item"
"-199 to 66","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
