"RFXT081.Code.or.Value","RFXT081.Value.Description","RFXT081.Count","RFXT081.Cumulative","RFXT081.Skip.to.Item"
"699 to 707","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
