"HSQ480.Code.or.Value","HSQ480.Value.Description","HSQ480.Count","HSQ480.Cumulative","HSQ480.Skip.to.Item"
"0 to 30","Range of Values",5883,5883,NA
"77","Refused",0,5883,NA
"99","Don't know",9,5892,NA
".","Missing",3064,8956,NA
