"URXUPB.Code.or.Value","URXUPB.Value.Description","URXUPB.Count","URXUPB.Cumulative","URXUPB.Skip.to.Item"
"0.07 to 52.3","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
