"LBDTO1.Code.or.Value","LBDTO1.Value.Description","LBDTO1.Count","LBDTO1.Cumulative","LBDTO1.Skip.to.Item"
"0 to 240","Range of Values",5751,5751,NA
".","Missing",603,6354,NA
