"URDP07LC.Code.or.Value","URDP07LC.Value.Description","URDP07LC.Count","URDP07LC.Cumulative","URDP07LC.Skip.to.Item"
"0","At or above the detection limit",2427,2427,NA
"1","Below lower detection limit",62,2489,NA
".","Missing",105,2594,NA
