"WTSSMC4Y.Code.or.Value","WTSSMC4Y.Value.Description","WTSSMC4Y.Count","WTSSMC4Y.Cumulative","WTSSMC4Y.Skip.to.Item"
"769.842844 to 119080.51994","Range of Values",4128,4128,NA
"0","No lab specimen",0,4128,NA
".","Missing",0,4128,NA
