"URDHCTLC.Code.or.Value","URDHCTLC.Value.Description","URDHCTLC.Count","URDHCTLC.Cumulative","URDHCTLC.Skip.to.Item"
"0","At or above detection limit",2414,2414,NA
"1","Below lower detection limit",39,2453,NA
".","Missing",152,2605,NA
