"DS2TPROT.Code.or.Value","DS2TPROT.Value.Description","DS2TPROT.Count","DS2TPROT.Cumulative","DS2TPROT.Skip.to.Item"
"0.2 to 12","Range of Values",166,166,NA
".","Missing",10087,10253,NA
