"DXXLABMC.Code.or.Value","DXXLABMC.Value.Description","DXXLABMC.Count","DXXLABMC.Cumulative","DXXLABMC.Skip.to.Item"
"28.88 to 392.03","Range of Values",4977,4977,NA
".","Missing",803,5780,NA
