"WBXF075.Code.or.Value","WBXF075.Value.Description","WBXF075.Count","WBXF075.Cumulative","WBXF075.Skip.to.Item"
"3174.8021 to 3174.8021","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
