"SXQ627.Code.or.Value","SXQ627.Value.Description","SXQ627.Count","SXQ627.Cumulative","SXQ627.Skip.to.Item"
"0 to 20","Range of Values",1565,1565,NA
"77777","Refused",4,1569,NA
"99999","Don't know",0,1569,NA
".","Missing",3488,5057,NA
