"SXD021.Code.or.Value","SXD021.Value.Description","SXD021.Count","SXD021.Cumulative","SXD021.Skip.to.Item"
"1","Yes",3862,3862,NA
"2","No",239,4101,NA
"7","Refused",2,4103,NA
"9","Don't know",1,4104,NA
".","Missing",692,4796,NA
