"AUXLR268.Code.or.Value","AUXLR268.Value.Description","AUXLR268.Count","AUXLR268.Cumulative","AUXLR268.Skip.to.Item"
"-23 to 78","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
