"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",30,30,NA
"2","Years",219,249,NA
".","Missing",9326,9575,NA
