"DR2CCMNM.Code.or.Value","DR2CCMNM.Value.Description","DR2CCMNM.Count","DR2CCMNM.Cumulative","DR2CCMNM.Skip.to.Item"
"0 to 16","Range of Values",129141,129141,NA
".","Missing",0,129141,NA
