"DR1TALCO.Code.or.Value","DR1TALCO.Value.Description","DR1TALCO.Count","DR1TALCO.Cumulative","DR1TALCO.Skip.to.Item"
"0 to 335.3","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
