"DXXWDGRT.Code.or.Value","DXXWDGRT.Value.Description","DXXWDGRT.Count","DXXWDGRT.Cumulative","DXXWDGRT.Skip.to.Item"
"0.5 to 1.1","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
