"DRD370R.Code.or.Value","DRD370R.Value.Description","DRD370R.Count","DRD370R.Cumulative","DRD370R.Skip.to.Item"
"1","Yes",303,303,""
"2","No",5268,5571,"DRD370S"
".","Missing",4379,9950,""
