"DR2IVARA.Code.or.Value","DR2IVARA.Value.Description","DR2IVARA.Count","DR2IVARA.Cumulative","DR2IVARA.Skip.to.Item"
"0 to 16586","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
