"URDMB3LC.Code.or.Value","URDMB3LC.Value.Description","URDMB3LC.Count","URDMB3LC.Cumulative","URDMB3LC.Skip.to.Item"
"0","At or above the detection limit",2370,2370,NA
"1","Below lower detection limit",25,2395,NA
".","Missing",210,2605,NA
