"FFQ0097C.Code.or.Value","FFQ0097C.Value.Description","FFQ0097C.Count","FFQ0097C.Cumulative","FFQ0097C.Skip.to.Item"
1,"Almost never or never",2979,2979,NA
2,"About 1/4 of the time",1502,4481,NA
3,"About 1/2 of the time",559,5040,NA
4,"About 3/4 of the time",162,5202,NA
5,"Almost always or always",187,5389,NA
88,"Blank",622,6011,NA
99,"Error",2,6013,NA
