"DRD370Q.Code.or.Value","DRD370Q.Value.Description","DRD370Q.Count","DRD370Q.Cumulative","DRD370Q.Skip.to.Item"
"1","Yes",61,61,""
"2","No",5060,5121,"DRD370R"
".","Missing",4692,9813,""
