"LBDGLUSI.Code.or.Value","LBDGLUSI.Value.Description","LBDGLUSI.Count","LBDGLUSI.Cumulative","LBDGLUSI.Skip.to.Item"
"2.109 to 32.418","Range of Values",3110,3110,NA
".","Missing",205,3315,NA
