"LBCBB1.Code.or.Value","LBCBB1.Value.Description","LBCBB1.Count","LBCBB1.Cumulative","LBCBB1.Skip.to.Item"
"0.7071 to 218.5","Range of Values",251,251,NA
".","Missing",0,251,NA
