"VIQ200.Code.or.Value","VIQ200.Value.Description","VIQ200.Count","VIQ200.Cumulative","VIQ200.Skip.to.Item"
"1","Yes",534,534,""
"2","No",5982,6516,"VIQ220"
"9","Don't know",11,6527,"VIQ220"
".","Missing",390,6917,""
