"DXXANIDX.Code.or.Value","DXXANIDX.Value.Description","DXXANIDX.Count","DXXANIDX.Cumulative","DXXANIDX.Skip.to.Item"
"0","0",2995,2995,NA
".","Missing",713,3708,NA
