"DR1IMOIS.Code.or.Value","DR1IMOIS.Value.Description","DR1IMOIS.Count","DR1IMOIS.Cumulative","DR1IMOIS.Skip.to.Item"
"0 to 12873.99","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
