"DXXPT23Y.Code.or.Value","DXXPT23Y.Value.Description","DXXPT23Y.Count","DXXPT23Y.Cumulative","DXXPT23Y.Skip.to.Item"
"178.3 to 408.8","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
