"AUDTYR15.Code.or.Value","AUDTYR15.Value.Description","AUDTYR15.Count","AUDTYR15.Cumulative","AUDTYR15.Skip.to.Item"
"0 to 1.81","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
