"DR2IVK.Code.or.Value","DR2IVK.Value.Description","DR2IVK.Count","DR2IVK.Cumulative","DR2IVK.Skip.to.Item"
"0 to 15225.4","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
