"LBX4AL.Code.or.Value","LBX4AL.Value.Description","LBX4AL.Count","LBX4AL.Cumulative","LBX4AL.Skip.to.Item"
"0.221 to 3.49","Range of Values",1740,1740,NA
".","Missing",584,2324,NA
