"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",7481,7481,NA
"2","Spanish",1099,8580,NA
"3","English and Spanish",87,8667,NA
"4","Other",2,8669,NA
".","Missing",1281,9950,NA
