"DR1ICAFF.Code.or.Value","DR1ICAFF.Value.Description","DR1ICAFF.Count","DR1ICAFF.Cumulative","DR1ICAFF.Skip.to.Item"
"0 to 2013","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
