"CBQ595.Code.or.Value","CBQ595.Value.Description","CBQ595.Count","CBQ595.Cumulative","CBQ595.Skip.to.Item"
"1","Yes",2419,2419,"CBQ605"
"2","No",2757,5176,""
"7","Refused",0,5176,""
"9","Don't know",27,5203,""
".","Missing",1196,6399,""
