"DSQTVC.Code.or.Value","DSQTVC.Value.Description","DSQTVC.Count","DSQTVC.Cumulative","DSQTVC.Skip.to.Item"
"0.2 to 5500","Range of Values",2775,2775,NA
".","Missing",6981,9756,NA
