"URDHP2LC.Code.or.Value","URDHP2LC.Value.Description","URDHP2LC.Count","URDHP2LC.Cumulative","URDHP2LC.Skip.to.Item"
"0","At or above the detection limit",2269,2269,NA
"1","Below lower detection limit",87,2356,NA
".","Missing",106,2462,NA
