"BIXS013K.Code.or.Value","BIXS013K.Value.Description","BIXS013K.Count","BIXS013K.Cumulative","BIXS013K.Skip.to.Item"
"263.78 to 1056.77","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
