"CIQG14.Code.or.Value","CIQG14.Value.Description","CIQG14.Count","CIQG14.Cumulative","CIQG14.Skip.to.Item"
"1","Yes",45,45,NA
"2","No",35,80,NA
"7","Refused",0,80,NA
"9","Don't know",0,80,NA
".","Missing",848,928,NA
