"DRXTMFAT.Code.or.Value","DRXTMFAT.Value.Description","DRXTMFAT.Count","DRXTMFAT.Cumulative","DRXTMFAT.Skip.to.Item"
"0 to 167.35","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
