"DR2IFIBE.Code.or.Value","DR2IFIBE.Value.Description","DR2IFIBE.Count","DR2IFIBE.Cumulative","DR2IFIBE.Skip.to.Item"
"0 to 83.6","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
