"DR2IMAGN.Code.or.Value","DR2IMAGN.Value.Description","DR2IMAGN.Count","DR2IMAGN.Cumulative","DR2IMAGN.Skip.to.Item"
"0 to 1017","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
