"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.001 to 14","Range of Values",1197,1197,NA
".","Missing",4329,5526,NA
