"DR1TB12A.Code.or.Value","DR1TB12A.Value.Description","DR1TB12A.Count","DR1TB12A.Cumulative","DR1TB12A.Skip.to.Item"
"0 to 30.225","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
