"DR2TVC.Code.or.Value","DR2TVC.Value.Description","DR2TVC.Count","DR2TVC.Cumulative","DR2TVC.Skip.to.Item"
"0 to 1035.3","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
