"LBDF08LC.Code.or.Value","LBDF08LC.Value.Description","LBDF08LC.Count","LBDF08LC.Cumulative","LBDF08LC.Skip.to.Item"
"0","detectable result",1660,1660,NA
"1","below detectable limit",198,1858,NA
".","Missing",427,2285,NA
